claim,url,date,content,renderedContent,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags,username,displayname,description,rawDescription,descriptionUrls,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location,protected,linkUrl,linkTcourl,profileImageUrl,profileBannerUrl,label,user_id
European Parliament resolution is pure madness,https://twitter.com/MariaLu91149151/status/1210236977687212033,2019-12-26 16:32:35+00:00,Da Discover su Google https://t.co/EbRd7HvBl1,Da Discover su Google it.sputniknews.com/mondo/20191224…,1210236977687212032,1.0,1.0,0.0,0.0,1.210236977687212e+18,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,['https://it.sputniknews.com/mondo/201912248448082-putin-accusa-il-parlamento-europeo-di-voler-sovvertire-i-fatti-storici/'],['https://t.co/EbRd7HvBl1'],,,,,,,,,,MariaLu91149151,Maria Luisa,seguo solo la politica non cerco anime gemelle. 💯,seguo solo la politica non cerco anime gemelle. 💯,,False,2019-07-15 13:00:03+00:00,8539.0,7383.0,246752.0,274809.0,10.0,8779.0,", Emilia Romagna",False,,,https://pbs.twimg.com/profile_images/1152584041130053632/ex6_4qdO_normal.jpg,https://pbs.twimg.com/profile_banners/1150751883566493696/1586679986,,1150751883566493696
European Parliament resolution is pure madness,https://twitter.com/Tribonacci1/status/1209977713102118912,2019-12-25 23:22:21+00:00,Putin accusa il Parlamento europeo di voler sovvertire i fatti storici:  https://t.co/lrO3A2qoKZ,Putin accusa il Parlamento europeo di voler sovvertire i fatti storici:  it.sputniknews.com/mondo/20191224…,1209977713102118912,0.0,0.0,0.0,0.0,1.209977713102119e+18,it,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,['https://it.sputniknews.com/mondo/201912248448082-putin-accusa-il-parlamento-europeo-di-voler-sovvertire-i-fatti-storici/'],['https://t.co/lrO3A2qoKZ'],,,,,,,,,,Tribonacci1,Tribonacci,,,,False,2018-09-20 22:40:59+00:00,719.0,190.0,70139.0,178784.0,1.0,359.0,,False,,,https://pbs.twimg.com/profile_images/1449079868310925312/koI-g4Js_normal.jpg,,,1042906497129361408
European Parliament resolution is pure madness,https://twitter.com/GustavoMichele6/status/1209945224572747776,2019-12-25 21:13:15+00:00,"Il patto Molotov Ribbentrop per Putin non è mai esistito e forse nemmeno i 30 milioni di morti nei Gulag e il kgb, per cui lavorava. Ma a Salvini piace così. https://t.co/R3WFAuMJ7c","Il patto Molotov Ribbentrop per Putin non è mai esistito e forse nemmeno i 30 milioni di morti nei Gulag e il kgb, per cui lavorava. Ma a Salvini piace così. it.sputniknews.com/mondo/20191224…",1209945224572747776,1.0,7.0,11.0,0.0,1.2099452245727478e+18,it,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://it.sputniknews.com/mondo/201912248448082-putin-accusa-il-parlamento-europeo-di-voler-sovvertire-i-fatti-storici/'],['https://t.co/R3WFAuMJ7c'],,,,,,,,,,GustavoMichele6,Gustavo Micheletti,"Assueto mori, ab interitu vita.","Assueto mori, ab interitu vita.",,False,2019-10-08 13:33:33+00:00,2809.0,2679.0,34854.0,33176.0,0.0,177.0,Lucca,False,http://www.gustavomicheletti.it,https://t.co/YM7IsULoHD,https://pbs.twimg.com/profile_images/1234519264239005698/7apMOTVQ_normal.jpg,,,1181563222853337088
European Parliament resolution is pure madness,https://twitter.com/germanodefrance/status/1209933730502135811,2019-12-25 20:27:35+00:00,Putin accusa il Parlamento europeo di voler sovvertire i fatti storici https://t.co/8Mqp7ttYOv,Putin accusa il Parlamento europeo di voler sovvertire i fatti storici sptnkne.ws/ANV2,1209933730502135808,0.0,3.0,4.0,0.0,1.2099337305021358e+18,it,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",http://www.facebook.com/twitter,Facebook,['https://sptnkne.ws/ANV2'],['https://t.co/8Mqp7ttYOv'],,,,,,,,,,germanodefrance,trader indici USA germano,,,,False,2011-05-01 07:38:20+00:00,927.0,1456.0,172450.0,1063.0,10.0,3112.0,arco,False,,,https://pbs.twimg.com/profile_images/1340373788748341250/WNoi8Yhn_normal.jpg,https://pbs.twimg.com/profile_banners/290963421/1624716004,,290963421
European Parliament resolution is pure madness,https://twitter.com/germanodefrance/status/1209542079833083904,2019-12-24 18:31:18+00:00,Putin accusa il Parlamento europeo di voler sovvertire i fatti storici https://t.co/8Mqp7ttYOv,Putin accusa il Parlamento europeo di voler sovvertire i fatti storici sptnkne.ws/ANV2,1209542079833083904,1.0,2.0,1.0,0.0,1.209542079833084e+18,it,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",http://www.facebook.com/twitter,Facebook,['https://sptnkne.ws/ANV2'],['https://t.co/8Mqp7ttYOv'],,,,,,,,,,germanodefrance,trader indici USA germano,,,,False,2011-05-01 07:38:20+00:00,927.0,1456.0,172450.0,1063.0,10.0,3112.0,arco,False,,,https://pbs.twimg.com/profile_images/1340373788748341250/WNoi8Yhn_normal.jpg,https://pbs.twimg.com/profile_banners/290963421/1624716004,,290963421
European Parliament resolution is pure madness,https://twitter.com/NICOVENDOME55/status/1209524129667399681,2019-12-24 17:19:59+00:00,Putin accusa il Parlamento europeo di voler sovvertire i fatti storici: https://t.co/rQNnWjotWp,Putin accusa il Parlamento europeo di voler sovvertire i fatti storici: it.sputniknews.com/mondo/20191224…,1209524129667399680,0.0,0.0,0.0,0.0,1.2095241296673997e+18,it,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,['https://it.sputniknews.com/mondo/201912248448082-putin-accusa-il-parlamento-europeo-di-voler-sovvertire-i-fatti-storici/'],['https://t.co/rQNnWjotWp'],,,,,,,,,,NICOVENDOME55,NICOVENDOME55,"NATO A BARI...
CRESCIUTO A TORINO... 
MORTO A BRESCIA...
PERCHE' IL LAVORO TI UCCIDE !!","NATO A BARI...
CRESCIUTO A TORINO... 
MORTO A BRESCIA...
PERCHE' IL LAVORO TI UCCIDE !!",,False,2011-01-30 12:22:00+00:00,202.0,324.0,68606.0,405.0,241.0,9200.0,Italia,False,https://nicovendome.altervista.org/,https://t.co/I8CuR13m6s,https://pbs.twimg.com/profile_images/581060054092222464/krUObB79_normal.png,https://pbs.twimg.com/profile_banners/244911038/1398381740,,244911038
European Parliament resolution is pure madness,https://twitter.com/calendaschese/status/1209504814037639168,2019-12-24 16:03:13+00:00,"Di recente, poi, a far montare nuovamente la polemica è stato il governo polacco che, rispondendo a delle affermazioni circa l'entrata delle truppe... https://t.co/qYVtk3Nuce","Di recente, poi, a far montare nuovamente la polemica è stato il governo polacco che, rispondendo a delle affermazioni circa l'entrata delle truppe... it.sputniknews.com/mondo/20191224…",1209504814037639168,0.0,0.0,0.0,0.0,1.2095048140376392e+18,it,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",http://www.facebook.com/twitter,Facebook,['https://it.sputniknews.com/mondo/201912248448082-putin-accusa-il-parlamento-europeo-di-voler-sovvertire-i-fatti-storici/'],['https://t.co/qYVtk3Nuce'],,,,,,,,,,calendaschese,Corrado Gregori,"direttore periodico Africa Mission , dirigente Acli","direttore periodico Africa Mission , dirigente Acli",,False,2010-06-09 21:03:19+00:00,127.0,19.0,61161.0,159.0,13.0,70.0,"Milano, Lombardia",False,,,https://pbs.twimg.com/profile_images/963164081543876609/hjCSPr5B_normal.jpg,https://pbs.twimg.com/profile_banners/153903100/1400950124,,153903100
European Parliament resolution is pure madness,https://twitter.com/powertoart/status/1209502155494871040,2019-12-24 15:52:39+00:00,Vai grande #Putin: dignene agli euroinomani https://t.co/DmOH53njoX,Vai grande #Putin: dignene agli euroinomani sptnkne.ws/ANV2,1209502155494871040,1.0,0.0,0.0,0.0,1.209502155494871e+18,it,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",http://www.facebook.com/twitter,Facebook,['https://sptnkne.ws/ANV2'],['https://t.co/DmOH53njoX'],,,,,,,,['Putin'],,powertoart,Alessio Niccolai,"Sono un musicista-compositore, autore e copywriter. Dopo aver smesso di fumare anche tenore lirico con il DO#4. Ho fondato e dirigo l'Alma Pisarum Choir.😀","Sono un musicista-compositore, autore e copywriter. Dopo aver smesso di fumare anche tenore lirico con il DO#4. Ho fondato e dirigo l'Alma Pisarum Choir.😀",,False,2008-04-16 21:08:04+00:00,184.0,1277.0,22044.0,14.0,8.0,188.0,"Vecchiano, Toscana",False,https://www.facebook.com/conelantsaga/,https://t.co/wJK1Fj7SYx,https://pbs.twimg.com/profile_images/1025360990433669120/QZSawIeJ_normal.jpg,https://pbs.twimg.com/profile_banners/14412927/1533301960,,14412927
The European Parliament requires the liquidation of the state of the Republic of Moldova,https://twitter.com/Gumboljt/status/1215260890498568193,2020-01-09 13:15:49+00:00,Европарламент официально отказался от признания государства Молдова https://t.co/C5VY6NzPOV,Европарламент официально отказался от признания государства Молдова news-front.info/2019/12/24/evr…,1215260890498568192,0.0,0.0,0.0,0.0,1.2152608904985682e+18,ru,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,['https://news-front.info/2019/12/24/evroparlament-oficzialno-otkazalsya-ot-priznaniya-gosudarstva-moldova/#.XhclFAOMVQC.twitter'],['https://t.co/C5VY6NzPOV'],,,,,,,,,,Gumboljt,Кирилл Вяземский,Эксперт-политолог,Эксперт-политолог,,False,2011-06-13 15:06:14+00:00,114.0,435.0,24076.0,2.0,8.0,100.0,Приднестровье,False,,,https://pbs.twimg.com/profile_images/1271855452226289670/Vv4y7iTf_normal.jpg,https://pbs.twimg.com/profile_banners/316503056/1591100996,,316503056
The European Parliament requires the liquidation of the state of the Republic of Moldova,https://twitter.com/Loboda_Igor/status/1215125710504910849,2020-01-09 04:18:39+00:00,Европарламент официально отказался от признания государства Молдова https://t.co/wST3K0wBS6,Европарламент официально отказался от признания государства Молдова news-front.info/2019/12/24/evr…,1215125710504910848,0.0,0.0,0.0,0.0,1.2151257105049108e+18,ru,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",http://www.facebook.com/twitter,Facebook,['https://news-front.info/2019/12/24/evroparlament-oficzialno-otkazalsya-ot-priznaniya-gosudarstva-moldova/#.XhYiPd0BXqI.facebook'],['https://t.co/wST3K0wBS6'],,,,,,,,,,Loboda_Igor,Игорь Лобода,"Здравствуйте, это вам из СБУ звонят — Я знаю. — Откуда? —Вы мне на выключенный мобильник дозвонились.","Здравствуйте, это вам из СБУ звонят — Я знаю. — Откуда? —Вы мне на выключенный мобильник дозвонились.",,False,2012-02-18 16:32:30+00:00,93.0,74.0,85372.0,2.0,0.0,512.0,Киев,False,http://www.facebook.com/profile.php?id=100000932794252,http://t.co/zxNOwO6bjd,https://pbs.twimg.com/profile_images/950129314686799872/umsW-Hbr_normal.jpg,https://pbs.twimg.com/profile_banners/496107216/1470778371,,496107216
