truth,title,is_rumor,thread,in_reply_tweet,event,tweet_id,is_source_tweet,in_reply_user,user_id,tweet_length,symbol_count,user_mentions,urls_count,media_count,hashtags_count,retweet_count,favorite_count,mentions_count,is_truncated,created,has_smile_emoji,sensitive,has_place,has_coords,has_quest,has_exclaim,has_quest_or_exclaim,user.tweets_count,user.verified,user.followers_count,user.listed_count,user.desc_length,user.handle_length,user.name_length,user.notifications,user.friends_count,user.time_zone,user.has_bg_img,user.default_pic,user.created_at,user.location,user.profile_sbcolor,user.profile_bgcolor,hasperiod,number_punct,negativewordcount,positivewordcount,capitalratio,contentlength,sentimentscore,Noun,Verb,Adjective,Pronoun,FirstPersonPronoun,SecondPersonPronoun,ThirdPersonPronoun,Adverb,has_url_in_text
,,0,535386605666979840,,gurlitt,535386605666979840,1,,43092938,130,0,1,1,0,3,2,0,1,0,1416481088000.0,0,0,0,0,1,0,1,8052,0,7568,301,59,12,12,0,126,Bern,0,0,1243510904000.0,1,16777215,16777215,1,12,0,0,0.08461538461538462,15,0.4833333333333334,7,3,1,0,0,0,0,0,1
,,0,535391478969675776,,gurlitt,535391478969675776,1,,38402632,112,0,1,1,0,0,1,0,1,0,1416482250000.0,0,0,0,0,0,0,0,3398,0,245,19,61,13,10,0,804,,1,1,1241689305000.0,1,12639981,12639981,2,14,0,0,0.0625,13,0.2,9,1,0,0,0,0,0,0,1
,,0,535415010361487360,,gurlitt,535415010361487360,1,,719898644,129,0,0,1,0,0,1,0,0,0,1416487860000.0,0,0,0,0,0,0,0,1129,0,1097,36,74,10,10,0,89,London,1,1,1343384642000.0,1,12639981,12639981,1,9,0,0,0.046511627906976744,19,-0.25,6,3,5,0,0,0,1,0,1
,,0,535415869862473729,,gurlitt,535415869862473729,1,,1140049158,112,0,1,1,0,0,1,1,1,0,1416488065000.0,0,0,0,0,0,0,0,2970,0,633,13,156,12,11,0,342,London,1,1,1359734254000.0,1,12639981,12639981,2,13,0,0,0.0625,13,0.2,9,1,0,0,0,0,0,0,1
,,0,535425236871544832,,gurlitt,535425236871544832,1,,289989248,112,0,1,1,0,0,1,0,1,0,1416490298000.0,0,0,0,0,0,0,0,1352,0,340,16,84,20,11,0,492,Eastern Time (US & Canada),1,0,1304090601000.0,1,12639981,12639981,2,11,0,0,0.09821428571428571,13,0.2,9,1,0,0,0,0,0,0,1
,,0,535439290667241472,,gurlitt,535439290667241472,1,,220673613,133,0,2,1,0,1,1,0,2,0,1416493649000.0,0,0,0,0,0,0,0,5552,1,2459,176,160,12,7,0,1224,Berlin,1,1,1290953620000.0,1,12639981,12639981,1,9,0,0,0.0916030534351145,17,0.0,9,3,1,0,0,0,0,0,1
,,0,535440024930902017,,gurlitt,535440024930902017,1,,244219372,136,0,3,1,0,1,2,0,3,0,1416493824000.0,0,0,0,0,0,0,0,531,0,119,3,64,13,11,0,124,,1,1,1296246196000.0,1,12639981,12639981,1,10,0,0,0.16176470588235295,13,0.0,8,2,1,0,1,0,0,0,1
,,0,535449972913614848,,gurlitt,535449972913614848,1,,21397917,71,0,0,1,0,0,1,0,0,0,1416496196000.0,0,0,0,0,0,0,0,20836,0,12997,746,123,17,15,0,1571,Berlin,1,0,1235138412000.0,1,16777215,14412269,1,10,0,0,0.09859154929577464,9,0.0,6,1,0,0,0,0,0,0,1
,,0,535450182142672897,,gurlitt,535450182142672897,1,,21397917,140,0,0,1,1,4,3,1,0,0,1416496246000.0,0,0,0,0,0,0,0,20836,0,12997,746,123,17,15,0,1571,Berlin,1,0,1235138412000.0,1,16777215,14412269,2,19,0,0,0.07142857142857142,15,0.25,10,2,1,0,0,0,0,0,1
,,0,535450182142672897,5.354501821426729e+17,gurlitt,535451147931512833,0,21397917.0,383743288,126,0,2,1,0,0,1,0,2,0,1416496476000.0,0,0,0,0,0,0,0,1463,0,190,0,89,12,13,0,394,Greenland,1,0,1317559488000.0,1,12639981,12639981,3,10,0,1,0.06349206349206349,17,0.20499999999999996,5,2,3,0,1,0,0,0,1
,,0,535450182142672897,5.354501821426729e+17,gurlitt,535451150859132928,0,21397917.0,20003443,104,0,1,0,0,0,0,0,1,0,1416496477000.0,0,0,0,0,0,0,0,31123,0,277,7,150,10,10,0,89,Amsterdam,1,1,1233694722000.0,1,12639981,12639981,2,5,0,1,0.04807692307692308,14,0.8,6,3,1,0,0,0,0,0,0
,,0,535450182142672897,5.354511508591329e+17,gurlitt,535451364818964481,0,20003443.0,195699945,95,0,1,0,0,0,0,0,1,0,1416496528000.0,0,0,0,0,1,0,1,4161,0,567,45,20,12,11,0,975,Casablanca,1,1,1285585859000.0,1,12639981,12639981,3,4,0,0,0.0,16,0.0,6,3,2,1,0,0,1,0,0
