truth,title,is_rumor,thread,in_reply_tweet,event,tweet_id,is_source_tweet,in_reply_user,user_id,tweet_length,symbol_count,user_mentions,urls_count,media_count,hashtags_count,retweet_count,favorite_count,mentions_count,is_truncated,created,has_smile_emoji,sensitive,has_place,has_coords,has_quest,has_exclaim,has_quest_or_exclaim,user.tweets_count,user.verified,user.followers_count,user.listed_count,user.desc_length,user.handle_length,user.name_length,user.notifications,user.friends_count,user.time_zone,user.has_bg_img,user.default_pic,user.created_at,user.location,user.profile_sbcolor,user.profile_bgcolor,hasperiod,number_punct,negativewordcount,positivewordcount,capitalratio,contentlength,sentimentscore,Noun,Verb,Adjective,Pronoun,FirstPersonPronoun,SecondPersonPronoun,ThirdPersonPronoun,Adverb,has_url_in_text
,,0,529590949136326656,,prince-toronto,529590949136326656,1,,842564341,107,0,2,0,0,0,2,4,2,0,1415099296000.0,0,0,0,0,0,0,0,3702,0,3664,40,159,13,12,0,474,,1,0,1348441735000.0,0,6664410,6565259,3,5,0,0,0.11214953271028037,18,0.0,6,4,0,0,0,0,1,0,0
,,0,529590949136326656,5.2959094913632666e+17,prince-toronto,529591649618247680,0,842564341.0,1538385210,112,0,3,0,0,0,0,1,3,0,1415099463000.0,0,0,0,0,0,1,1,7843,0,359,9,150,7,11,0,597,,1,0,1371895701000.0,1,16777215,16579836,0,6,1,0,0.125,16,0.27847222222222223,6,2,0,0,0,0,0,0,0
,,0,529695075560071168,,prince-toronto,529695075560071168,1,,134586361,88,0,0,0,0,0,2,0,0,0,1415124121000.0,0,0,0,0,0,0,0,47116,0,2999,43,120,11,6,0,896,Quito,1,0,1271626949000.0,1,16777215,1250582,3,3,0,0,0.045454545454545456,17,1.0,5,3,0,2,0,0,2,0,0
,,0,529695075560071168,5.296950755600712e+17,prince-toronto,529696532338339840,0,134586361.0,62111733,99,0,1,0,0,0,0,0,1,0,1415124469000.0,0,0,0,0,0,0,0,12436,0,485,10,21,4,9,0,289,Atlantic Time (Canada),1,0,1249158569000.0,1,1579550,1710879,3,4,0,0,0.041237113402061855,18,1.0,5,3,1,2,0,0,2,0,0
,,0,529695075560071168,5.296950755600712e+17,prince-toronto,529697965049671680,0,134586361.0,44644732,88,0,1,0,0,0,0,0,1,0,1415124810000.0,0,0,0,0,0,0,0,95065,0,909,10,159,16,10,0,581,Quito,1,1,1244130480000.0,1,12639981,12639981,3,3,0,0,0.045454545454545456,16,0.0,8,2,1,0,0,0,0,0,0
,,0,529755373721632768,,prince-toronto,529755373721632768,1,,1395136699,39,0,0,0,0,0,3,6,0,0,1415138498000.0,0,0,0,0,0,0,0,11001,0,779,9,100,6,9,0,1203,Atlantic Time (Canada),1,0,1367428963000.0,1,0,1710879,5,5,0,0,0.1794871794871795,5,0.0,4,1,0,0,0,0,0,0,0
,,0,529761572881985536,,prince-toronto,529761572881985536,1,,43451286,45,0,0,0,0,0,2,2,0,0,1415139976000.0,0,0,0,0,0,0,0,3756,0,202,0,47,4,8,0,411,Atlantic Time (Canada),1,0,1243646195000.0,1,15917461,12246989,2,2,0,0,0.06666666666666667,8,0.5428571428571429,4,1,0,0,0,0,0,0,0
false,Prince will play a show in Toronto on November 4,1,529399936434327552,,prince-toronto,529399936434327552,1,,23607802,66,0,0,0,0,0,15,8,0,0,1415053755000.0,0,0,0,0,0,0,0,20533,1,17276,596,149,3,5,0,812,Eastern Time (US & Canada),0,0,1236700401000.0,1,0,15002091,0,1,0,0,0.0,13,-0.4,5,1,1,1,1,0,0,0,0
false,Prince will play a show in Toronto on November 4,1,529399936434327552,5.2939993643432755e+17,prince-toronto,529402501645475841,0,23607802.0,965424487,93,0,1,0,0,0,0,0,1,0,1415054366000.0,0,0,0,0,1,1,1,66378,0,1043,30,134,8,9,0,2000,Eastern Time (US & Canada),1,0,1353641602000.0,1,0,140080,0,7,0,0,0.17582417582417584,15,-0.625,7,1,1,1,1,0,0,0,0
false,Prince will play a show in Toronto on November 4,1,529399936434327552,5.2939993643432755e+17,prince-toronto,529402532490379264,0,23607802.0,34408255,27,0,1,0,0,0,0,1,1,0,1415054374000.0,0,0,1,1,1,0,1,1904,0,2440,7,157,13,8,0,362,Eastern Time (US & Canada),1,0,1240436374000.0,1,0,16777215,0,1,0,0,0.18518518518518517,4,0.4,2,1,0,0,0,0,0,0,0
