truth,title,is_rumor,thread,in_reply_tweet,event,tweet_id,is_source_tweet,in_reply_user,user_id,tweet_length,symbol_count,user_mentions,urls_count,media_count,hashtags_count,retweet_count,favorite_count,mentions_count,is_truncated,created,has_smile_emoji,sensitive,has_place,has_coords,has_quest,has_exclaim,has_quest_or_exclaim,user.tweets_count,user.verified,user.followers_count,user.listed_count,user.desc_length,user.handle_length,user.name_length,user.notifications,user.friends_count,user.time_zone,user.has_bg_img,user.default_pic,user.created_at,user.location,user.profile_sbcolor,user.profile_bgcolor,hasperiod,number_punct,negativewordcount,positivewordcount,capitalratio,contentlength,sentimentscore,Noun,Verb,Adjective,Pronoun,FirstPersonPronoun,SecondPersonPronoun,ThirdPersonPronoun,Adverb,has_url_in_text
,,0,576171827086520320,,putinmissing,576171827086520320,1,,1093610112,65,0,0,0,1,3,2,4,0,0,1426205042000.0,0,0,0,0,0,0,0,31218,0,1423,73,8,19,13,0,2001,,1,0,1358295456000.0,0,16777215,11329238,1,10,0,0,0.3392857142857143,6,0.35,6,0,0,0,0,0,0,0,1
,,0,576171827086520320,5.761718270865203e+17,putinmissing,576388212534427648,0,1093610112.0,1317092514,24,0,1,0,0,0,0,0,1,0,1426256633000.0,0,0,0,0,0,1,1,3802,0,241,9,35,14,13,0,867,,1,1,1364674303000.0,1,12639981,12639981,0,3,0,0,0.16666666666666666,3,0.0,2,0,0,0,0,0,0,0,0
,,0,576185920094908416,,putinmissing,576185920094908416,1,,458173,117,0,0,0,1,2,4,0,0,0,1426208403000.0,0,0,0,0,0,0,0,47968,0,1509,107,43,16,9,0,1141,Eastern Time (US & Canada),1,0,1167754823000.0,1,14738150,12698049,4,12,0,0,0.06837606837606838,15,0.0,4,4,0,2,1,0,1,0,1
,,0,576249853979807745,,putinmissing,576249853979807745,1,,44691136,122,0,0,1,0,3,7,9,0,0,1426223646000.0,0,0,0,0,0,0,0,2381,0,913,25,71,4,12,0,348,Quito,1,1,1244142426000.0,1,12639981,12639981,2,11,0,1,0.0673076923076923,12,0.4666666666666667,5,2,1,0,0,0,0,0,1
,,0,576316647880839168,,putinmissing,576316647880839168,1,,285312699,134,0,0,0,0,1,22,36,0,0,1426239570000.0,0,0,0,0,0,0,0,1436,0,700,14,112,15,14,0,981,Brisbane,1,0,1303340011000.0,1,6664410,6565259,1,2,0,1,0.022388059701492536,27,0.35,7,5,1,3,0,0,2,0,0
,,0,576316647880839168,5.763166478808392e+17,putinmissing,576398762857271296,0,285312699.0,3077745647,38,0,1,0,1,0,0,1,1,0,1426259148000.0,0,0,0,0,0,0,0,46,0,8,0,117,6,9,0,30,,1,1,1425750908000.0,0,12639981,12639981,1,5,0,0,0.10526315789473684,2,0.0,1,1,0,0,0,0,0,0,1
,,0,576316647880839168,5.763166478808392e+17,putinmissing,579479145828257793,0,285312699.0,84456914,139,0,1,0,0,0,0,1,1,0,1426993569000.0,0,0,0,0,0,0,0,1462,0,8,1,152,11,10,0,13,London,1,0,1256255776000.0,1,16777215,1710879,2,4,0,1,0.050359712230215826,25,0.5,6,6,2,3,0,0,1,0,0
,,0,576321776424189954,,putinmissing,576321776424189954,1,,8628872,137,0,0,0,0,0,14,7,0,0,1426240793000.0,0,0,0,0,0,0,0,18102,0,4937,95,138,15,5,0,337,Dublin,1,0,1188844692000.0,1,8895556,10151144,2,7,0,0,0.0364963503649635,23,-0.3333333333333333,9,2,1,1,0,0,1,0,0
,,0,576321776424189954,5.7632177642418995e+17,putinmissing,576323181075533824,0,8628872.0,1273247052,93,0,1,0,0,0,0,0,1,0,1426241128000.0,0,0,0,0,0,0,0,30549,0,822,32,114,14,8,0,422,Arizona,1,0,1363466542000.0,0,13034222,9594572,1,3,1,0,0.021505376344086023,19,-0.43214285714285716,3,4,2,3,1,0,1,0,0
,,0,576321776424189954,5.7632177642418995e+17,putinmissing,576328180912508928,0,8628872.0,2882743727,56,0,2,0,0,1,0,0,2,0,1426242320000.0,0,0,0,0,0,0,0,2730,0,152,4,160,11,10,0,436,Ljubljana,1,1,1416325095000.0,0,12639981,12639981,0,4,0,1,0.10714285714285714,9,-0.25,3,1,1,1,0,1,0,0,0
