thread,favorite_count_mean,favorite_count_sum,favorite_count_var,user_mentions_mean,user_mentions_sum,user_mentions_var,media_count_mean,media_count_sum,media_count_var,sensitive_mean,sensitive_sum,sensitive_var,has_place_mean,has_place_sum,has_place_var,has_coords_mean,has_coords_sum,has_coords_var,retweet_count_mean,retweet_count_sum,retweet_count_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,urls_count_mean,urls_count_sum,urls_count_var,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,is_rumor,thread_length,user.has_bg_img_mean,user.has_bg_img_sum,user.has_bg_img_var,has_quest_mean,has_quest_sum,has_quest_var,has_exclaim_mean,has_exclaim_sum,has_exclaim_var,has_quest_or_exclaim_mean,has_quest_or_exclaim_sum,has_quest_or_exclaim_var,user.default_pic_mean,user.default_pic_sum,user.default_pic_var,has_smile_emoji_mean,has_smile_emoji_sum,has_smile_emoji_var,user.verified_mean,user.verified_sum,user.verified_var,user.name_length_mean,user.name_length_sum,user.name_length_var,user.handle_length_mean,user.handle_length_sum,user.handle_length_var,user.profile_sbcolor_mean,user.profile_sbcolor_sum,user.profile_sbcolor_var,user.profile_bgcolor_mean,user.profile_bgcolor_sum,user.profile_bgcolor_var,hasperiod_mean,hasperiod_sum,hasperiod_var,number_punct_mean,number_punct_sum,number_punct_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,capitalratio_mean,capitalratio_sum,capitalratio_var,contentlength_mean,contentlength_sum,contentlength_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,Noun_mean,Noun_sum,Noun_var,Verb_mean,Verb_sum,Verb_var,Adjective_mean,Adjective_sum,Adjective_var,Pronoun_mean,Pronoun_sum,Pronoun_var,Adverb_mean,Adverb_sum,Adverb_var,src.followers_count,src.listed_count,src.user_verified,created,src.created_at,src.tweets_total,first_resp,last_resp,resp_var,time_to_first_resp,time_to_last_resp
576171827086520320,2.0,4,8.0,0.5,1,0.5,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,2,2.0,1.5,3,4.5,0.0,0.0,0,0.0,17510.0,35020,375818528.0,0,2,1.0,2,0.0,0.0,0,0.0,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,13.0,26,0.0,16.5,33,12.5,14708598.0,29417196,8558352585378.0,11984609.5,23969219,859023606024.5,0.5,1,0.5,6.5,13,24.5,0.0,0,0.0,0.0,0,0.0,0.25297619047619047,0.5059523809523809,0.014898667800453517,4.5,9,4.5,0.175,0.35,0.06124999999999999,4.0,8,8.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1423,73,0,1426205042000.0,1358295456000.0,31218,1426256633000.0,1426256633000.0,0.0,51591000.0,51591000.0
576181101577703424,2.5,5,12.5,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,4.0,8,32.0,0.5,1,0.5,0.0,0.0,0,0.0,5106.0,10212,42522642.0,1,2,1.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,12.0,24,18.0,17.5,35,4.5,13359986.5,26719973,10568480137512.5,695331.0,1390662,616607346002.0,1.0,2,0.0,3.0,6,8.0,0.0,0,0.0,0.5,1,0.5,0.09055759055759055,0.1811151811151811,0.006633344647182661,10.5,21,112.5,0.2125,0.425,0.09031249999999999,3.5,7,4.5,3.0,6,8.0,1.0,2,2.0,0.0,0,0.0,0.0,0,0.0,1485,63,0,1426207254000.0,1365307723000.0,9717,1426269358000.0,1426269358000.0,0.0,62104000.0,62104000.0
576191681827057664,0.0,0,0.0,0.5,1,0.5,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,2,2.0,0.5,1,0.5,0.0,1.0,2,0.0,75412.0,150824,8789258528.0,1,2,0.5,1,0.5,0.5,1,0.5,0.0,0,0.0,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,11.5,23,24.5,15.5,31,12.5,789775.0,1579550,1247489101250.0,855439.5,1710879,1463553476320.5,2.5,5,4.5,13.0,26,98.0,0.0,0,0.0,0.0,0,0.0,0.12285067873303168,0.24570135746606336,0.005750189390061629,10.0,20,32.0,-0.1,-0.2,0.020000000000000004,6.0,12,8.0,2.0,4,0.0,0.0,0,0.0,0.5,1,0.5,0.0,0,0.0,33689,612,0,1426209776000.0,1244076423000.0,141704,1426216121000.0,1426216121000.0,0.0,6345000.0,6345000.0
576192621351145472,0.5,1,0.5,1.5,3,0.5,0.0,0,0.0,0.0,0,0.0,0.5,1,0.5,0.5,1,0.5,3.5,7,24.5,0.5,1,0.5,0.0,0.0,0,0.0,1889.5,3779,830760.5,1,2,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,12.5,25,12.5,11.0,22,8.0,6319990.5,12639981,79884559840180.5,6319990.5,12639981,79884559840180.5,1.5,3,0.5,4.5,9,12.5,0.0,0,0.0,0.5,1,0.5,0.09645833333333334,0.19291666666666668,0.0011084201388888882,14.5,29,0.5,0.0,0.0,0.0,5.5,11,0.5,2.5,5,4.5,0.5,1,0.5,0.5,1,0.5,0.0,0,0.0,13,0,0,1426210000000.0,1380679129000.0,1245,1426210228000.0,1426210228000.0,0.0,228000.0,228000.0
576204915694964737,1.0,2,2.0,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,2,2.0,0.0,0,0.0,0.5,0.5,1,0.5,82951.0,165902,6903830018.0,1,2,0.5,1,0.5,1.0,2,0.0,0.0,0,0.0,1.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,10.0,20,8.0,7.5,15,60.5,6319990.5,12639981,79884559840180.5,6319990.5,12639981,79884559840180.5,4.0,8,18.0,9.5,19,24.5,0.0,0,0.0,0.0,0,0.0,0.09324618736383442,0.18649237472766883,0.008094132835898823,15.0,30,162.0,0.10454545454545455,0.2090909090909091,0.021859504132231408,5.0,10,2.0,3.5,7,4.5,0.5,1,0.5,0.5,1,0.5,0.0,0,0.0,33688,612,0,1426212931000.0,1244076423000.0,141704,1426214891000.0,1426214891000.0,0.0,1960000.0,1960000.0
576225987119198208,2.6,13,27.8,1.8,9,0.2,0.0,0,0.0,0.0,0,0.0,0.4,2,0.3,0.0,0,0.0,5.2,26,135.20000000000002,0.4,2,0.8000000000000002,0.6,0.2,1,0.20000000000000004,4725.4,23627,11653148.3,1,5,0.8,4,0.2,0.8,4,0.2,0.0,0,0.0,0.8,4,0.2,0.2,1,0.20000000000000004,0.0,0,0.0,0.0,0,0.0,9.6,48,15.8,13.2,66,43.2,12594325.2,62971626,52777203233065.195,10515097.8,52575489,35289466940891.7,0.2,1,0.20000000000000004,3.0,15,16.0,0.0,0,0.0,0.0,0,0.0,0.05724134296772885,0.28620671483864424,0.001919331050870457,16.8,84,71.2,-0.0225,-0.1125,0.0019062500000000004,6.8,34,8.7,2.4,12,3.3,0.6,3,0.7999999999999999,0.4,2,0.3,0.0,0,0.0,230,8,0,1426217955000.0,1232774903000.0,329,1426229014000.0,1426240544000.0,23965739187500.0,11059000.0,22589000.0
576231309254721536,0.0,0,0.0,1.5,3,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,2,2.0,1.0,2,2.0,0.0,0.5,1,0.5,5216.0,10432,38526642.0,1,2,0.5,1,0.5,1.0,2,0.0,0.0,0,0.0,1.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,11.5,23,12.5,12.0,24,18.0,8388607.5,16777215,140737471578112.5,9182115.0,18364230,23913674547912.0,0.5,1,0.5,5.0,10,32.0,0.0,0,0.0,0.0,0,0.0,0.10865384615384616,0.2173076923076923,0.0005343934911242602,11.0,22,18.0,-0.00625,-0.0125,7.812500000000002e-05,8.0,16,18.0,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,3840,163,0,1426219224000.0,1336358816000.0,827,1426221077000.0,1426221077000.0,0.0,1853000.0,1853000.0
576238790936662017,1.0,2,2.0,1.0,2,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.5,3,4.5,1.0,2,2.0,0.0,0.5,1,0.5,48443.5,96887,210884184.5,1,2,1.0,2,0.0,0.5,1,0.5,0.0,0,0.0,0.5,1,0.5,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,10.5,21,12.5,13.0,26,72.0,11353155.0,22706310,3311842308552.0,6319990.5,12639981,79884559840180.5,1.0,2,0.0,7.5,15,24.5,0.0,0,0.0,0.0,0,0.0,0.14302981466559228,0.28605962933118456,0.002236570673880142,11.0,22,0.0,-0.05625,-0.1125,0.003828125,7.0,14,8.0,1.0,2,2.0,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,1794,111,0,1426221008000.0,1279106681000.0,58712,1426222394000.0,1426222394000.0,0.0,1386000.0,1386000.0
576276947648405505,1.0,4,4.000000000000001,0.25,1,0.25000000000000006,0.25,1,0.25000000000000006,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2.0,8,2.0,2.75,11,0.9166666666666666,0.25,0.5,2,0.3333333333333333,9717.0,38868,0.0,1,4,1.0,4,0.0,0.5,2,0.3333333333333333,0.0,0,0.0,0.5,2,0.3333333333333333,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,9.0,36,0.0,19.0,76,0.0,15658734.0,62634936,0.0,1250582.0,5002328,0.0,1.5,6,1.6666666666666667,12.75,51,28.250000000000004,0.0,0,0.0,0.25,1,0.25000000000000006,0.10767679572622449,0.43070718290489796,0.00027437423645483854,17.25,69,16.916666666666668,0.175,0.7,0.1225,10.0,40,4.666666666666665,2.0,8,3.3333333333333335,0.0,0,0.0,0.5,2,0.3333333333333333,0.0,0,0.0,1485,63,0,1426230105000.0,1365307723000.0,9717,1426230571000.0,1426231184000.0,64140666666.666664,466000.0,1079000.0
576316647880839168,12.666666666666666,38,408.33333333333337,0.6666666666666666,2,0.33333333333333337,0.3333333333333333,1,0.33333333333333337,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,7.333333333333333,22,161.33333333333334,0.3333333333333333,1,0.33333333333333337,0.33333333333333337,0.0,0,0.0,981.3333333333334,2944,656305.3333333333,0,3,1.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.3333333333333333,1,0.33333333333333337,0.0,0,0.0,0.0,0,0.0,11.0,33,7.0,10.666666666666666,32,20.333333333333332,12027202.0,36081606,25848829819137.0,6972039.666666667,20916119,29985420514681.332,1.3333333333333333,4,0.33333333333333337,3.6666666666666665,11,2.3333333333333335,0.0,0,0.0,0.6666666666666666,2,0.33333333333333337,0.05933697660881507,0.1780109298264452,0.0017775139319274212,18.0,54,193.0,0.2833333333333333,0.85,0.06583333333333333,4.666666666666667,14,10.333333333333332,4.0,12,7.0,1.0,3,1.0,2.0,6,3.0,0.0,0,0.0,700,14,0,1426239570000.0,1303340011000.0,1436,1426259148000.0,1426993569000.0,1.3484355131025e+17,19578000.0,753999000.0
