,source,target,label,is_mean_vec
0,432,433,0,True
1,432,434,0,True
2,432,435,0,True
3,432,436,0,True
4,432,437,0,True
5,432,438,0,True
6,432,439,0,True
7,432,440,0,True
8,432,441,0,True
0,2933,2934,2,True
1,2935,2936,2,True
2,2935,2937,2,True
3,2935,2938,2,True
4,2935,2939,2,True
5,2935,2940,2,True
6,2935,2941,2,True
7,2935,2942,2,True
8,2935,2943,2,True
9,2935,2944,2,True
10,2935,2945,2,True
11,2935,2946,2,True
12,2935,2947,2,True
13,2935,2948,2,True
14,2935,2949,2,True
15,2950,2951,2,True
0,5925,5926,1,True
1,5925,5927,1,True
2,5925,5928,1,True
3,5925,5929,1,True
4,5925,5930,1,True
5,5925,5931,1,True
6,5925,5932,1,True
7,5925,5933,1,True
8,5934,5935,1,True
9,5935,5925,1,True
10,5935,5936,1,True
11,5935,5937,1,True
12,5935,5938,1,True
13,5939,5940,1,True
14,5941,5942,1,True
15,5941,5943,1,True
16,5941,5944,1,True
17,5945,5946,1,True
