,source,target,label
0,0,1,1
1,0,2,1
2,0,3,1
3,0,4,1
4,0,5,1
5,0,6,1
6,0,7,1
7,0,8,1
8,0,9,1
9,0,10,1
10,0,11,1
11,0,12,1
12,0,13,1
13,0,14,1
14,0,15,1
15,0,16,1
16,0,17,1
17,0,18,1
18,0,19,1
19,0,20,1
20,0,21,1
21,3,2,1
22,22,23,1
23,22,24,1
24,22,25,1
25,22,26,1
26,27,28,1
27,27,29,1
28,27,30,1
0,62,63,1
1,33,34,1
2,33,35,1
3,33,36,1
4,33,37,1
5,38,39,1
6,40,41,1
7,40,42,1
8,43,44,1
9,45,46,1
10,47,48,1
11,49,50,1
12,49,51,1
13,52,53,1
14,54,55,1
15,56,57,1
16,58,59,1
17,60,61,1
18,62,63,1
0,64,65,1
1,64,66,1
2,64,67,1
3,64,68,1
4,64,69,1
5,70,71,1
6,70,72,1
7,73,74,1
8,75,76,1
9,75,77,1
10,78,79,1
11,80,81,1
12,80,82,1
13,80,83,1
14,80,84,1
15,80,85,1
0,86,87,2
1,86,88,2
2,86,89,2
3,86,90,2
4,86,91,2
5,86,92,2
6,93,86,2
7,94,95,2
0,96,97,1
1,96,98,1
2,96,99,1
3,96,100,1
4,96,101,1
5,96,102,1
6,96,103,1
7,96,104,1
8,96,105,1
9,96,106,1
10,107,96,1
11,108,96,1
12,108,109,1
13,108,110,1
14,108,111,1
15,112,113,1
16,114,115,1
17,116,117,1
0,118,119,0
1,118,120,0
2,118,121,0
3,118,122,0
4,118,123,0
0,124,125,1
1,124,126,1
2,124,127,1
3,128,129,1
4,130,131,1
5,132,133,1
6,134,135,1
7,134,136,1
8,137,138,1
9,137,139,1
10,137,140,1
11,137,141,1
12,142,143,1
0,144,145,2
1,144,146,2
2,144,147,2
3,144,148,2
4,144,149,2
5,144,150,2
6,144,151,2
7,144,152,2
8,144,153,2
9,144,154,2
10,144,155,2
11,144,156,2
12,144,157,2
13,144,158,2
14,144,159,2
15,144,160,2
16,161,162,2
17,163,164,2
0,165,166,1
1,165,167,1
2,168,169,1
3,170,171,1
4,172,173,1
5,172,174,1
0,175,176,2
1,175,177,2
2,175,178,2
3,175,179,2
4,175,180,2
5,175,181,2
6,175,182,2
7,175,183,2
8,175,184,2
9,185,175,2
10,185,186,2
11,185,187,2
12,185,188,2
13,185,189,2
14,185,190,2
15,185,191,2
16,185,192,2
17,193,194,2
18,195,175,2
0,196,197,2
1,196,198,2
2,196,199,2
3,200,201,2
4,202,203,2
5,202,204,2
6,205,201,2
0,206,207,2
1,206,208,2
2,206,209,2
3,206,210,2
4,206,211,2
5,206,212,2
6,213,214,2
0,215,216,2
1,215,217,2
2,215,218,2
3,215,219,2
4,215,220,2
5,215,221,2
6,215,222,2
7,215,223,2
8,223,225,2
9,224,225,2
10,224,226,2
11,227,225,2
12,228,229,2
0,230,231,1
1,230,232,1
2,230,233,1
3,230,234,1
4,230,235,1
5,235,236,1
6,235,237,1
7,235,238,1
8,235,239,1
9,235,240,1
10,235,241,1
11,235,242,1
12,235,243,1
13,235,244,1
14,235,245,1
15,235,246,1
16,247,248,1
17,249,250,1
18,251,252,1
19,251,253,1
20,251,254,1
21,251,255,1
22,251,256,1
23,251,257,1
24,258,259,1
0,260,261,2
1,260,262,2
2,263,264,2
3,263,265,2
4,263,266,2
5,263,260,2
6,267,268,2
7,267,263,2
0,269,270,1
1,269,271,1
2,269,272,1
3,269,273,1
4,274,275,1
5,274,276,1
6,274,277,1
7,274,278,1
8,279,280,1
9,279,281,1
10,279,282,1
11,279,283,1
12,279,284,1
13,279,285,1
14,279,286,1
15,279,287,1
16,279,288,1
17,279,289,1
18,279,290,1
19,279,291,1
20,279,292,1
21,279,293,1
22,279,294,1
23,279,295,1
24,279,296,1
25,279,297,1
26,279,298,1
27,299,300,1
28,299,301,1
29,299,302,1
30,299,303,1
31,299,304,1
32,299,305,1
33,299,306,1
34,299,307,1
35,299,308,1
36,305,309,1
37,310,311,1
38,312,313,1
39,314,315,1
40,314,316,1
41,317,318,1
42,319,320,1
43,319,321,1
0,322,323,1
1,322,324,1
2,322,325,1
3,322,326,1
4,322,327,1
5,322,328,1
6,322,329,1
7,322,330,1
8,322,331,1
9,322,332,1
10,322,333,1
11,322,334,1
12,322,335,1
13,322,336,1
14,322,337,1
15,322,338,1
16,322,339,1
17,322,340,1
18,322,341,1
19,322,342,1
20,322,343,1
21,322,344,1
22,322,345,1
23,322,346,1
24,347,348,1
25,349,350,1
26,349,351,1
27,349,352,1
28,349,353,1
29,349,354,1
30,349,348,1
31,349,355,1
32,356,348,1
33,357,348,1
34,357,358,1
35,357,359,1
36,360,361,1
37,360,362,1
